Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-04-01,93.41,94.04,93.32,93.76,0,93.83788086556665,91.35650000000001,88.87511913443338,73.39184429564958,94.04,93.32,80.38,90.9,91.74,94.61
2010-04-02,93.77,94.69,93.71,94.61,0,94.37881778768664,91.569,88.75918221231336,77.24910148686084,94.69,93.71,80.38,90.9,91.74,94.61
2010-04-04,94.68,94.78,94.31,94.38,0,94.78254524011794,91.757,88.73145475988207,74.11811091747059,94.78,94.31,80.38,90.9,91.74,94.61
2010-04-05,94.37,94.59,94.03,94.04,0,95.05930610012838,91.9315,88.80369389987162,69.62556213331229,94.59,94.03,80.38,90.9,91.74,94.61
2010-04-06,94.03,94.27,93.56,94.07,0,95.30443613302957,92.1025,88.90056386697044,69.79950616248209,94.27,93.56,80.38,90.9,91.74,94.61
2010-04-07,94.08,94.25,93.15,93.22,0,95.35644346195379,92.25899999999999,89.16155653804618,59.41715968089349,94.25,93.15,80.38,90.9,91.74,94.61
2010-04-08,93.23,93.62,92.83,93.58,0,95.41980409961924,92.43050000000001,89.44119590038078,61.99553452453381,93.62,92.83,80.38,90.9,91.74,94.61
2010-04-09,93.59,93.78,93.11,93.18,0,95.40163731062121,92.5795,89.75736268937878,57.615428846791026,93.78,93.11,80.38,90.9,91.74,94.61
2010-04-11,92.91,93.31,92.9,93.11,0,95.3675722547128,92.712,90.05642774528721,56.858349909535626,93.31,92.9,80.38,90.9,91.74,94.61
2010-04-12,93.12,93.61,92.57,92.62,0,95.27912322062872,92.816,90.35287677937129,51.73375983588773,93.61,92.57,80.38,90.9,91.74,94.61
2010-04-13,92.61,93.41,92.61,93.19,0,95.1701577942068,92.952,90.7338422057932,56.63055768581443,93.41,92.61,80.38,90.9,91.74,94.61
2010-04-14,93.2,93.72,92.82,93.41,0,94.96980541120118,93.107,91.24419458879882,58.385434280051534,93.72,92.82,80.38,90.9,91.74,94.61
2010-04-15,93.4,93.46,92.59,92.71,0,94.65780920930857,93.2185,91.77919079069144,51.275972950558184,93.46,92.59,80.38,90.9,91.74,94.61
2010-04-16,92.72,93.11,91.9,92.17,0,94.60932907098531,93.2375,91.86567092901468,46.56537844219705,93.11,91.9,80.38,90.9,91.74,94.61
2010-04-18,91.86,92.21,91.82,91.99,0,94.65383448043154,93.213,91.77216551956845,45.07876766998266,92.21,91.82,80.38,90.9,91.74,94.61
2010-04-19,92.0,92.7,91.59,92.59,0,94.64942725976573,93.218,91.78657274023428,50.72576354482365,92.7,91.59,80.38,90.9,91.74,94.61
2010-04-20,92.58,93.39,92.54,93.13,0,94.65139297964106,93.2405,91.82960702035894,55.191235435242504,93.39,92.54,80.38,90.9,91.74,94.61
