Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-07-13,108.23,108.56,107.0,108.35,0,108.68719383607282,106.32750000000001,103.96780616392721,65.81279935592536,108.56,107.0,104.58
2000-07-14,108.36,108.48,107.59,107.87,0,108.8559901500736,106.45750000000001,104.05900984992643,60.16608980734878,108.48,107.59,104.58
2000-07-16,107.52,108.28,107.49,108.14,0,108.99784035734169,106.627,104.2561596426583,62.13415701579247,108.28,107.49,104.58
2000-07-17,108.15,108.83,107.81,108.06,0,109.08297187073896,106.79,104.49702812926105,61.16980632257353,108.83,107.81,104.58
2000-07-18,108.06,108.47,107.65,108.2,0,109.10348118397329,106.971,104.83851881602672,62.27331552297879,108.47,107.65,104.58
2000-07-19,108.19,108.4,107.77,108.11,0,109.19358424390839,107.0925,104.99141575609161,61.071754164493804,108.4,107.77,104.58
2000-07-20,108.11,108.35,107.34,108.27,0,109.26369311123048,107.22849999999998,105.19330688876948,62.45856427327492,108.35,107.34,104.58
2000-07-21,108.26,109.21,108.19,108.95,0,109.31327702817697,107.42749999999998,105.54172297182299,67.72161520138258,109.21,108.19,104.58
2000-07-23,108.87,109.0,108.75,108.76,0,109.35319477974542,107.58699999999999,105.82080522025456,64.98042837205244,109.0,108.75,104.58
2000-07-24,108.77,109.17,108.49,108.8,0,109.41432769991492,107.72549999999998,106.03667230008504,65.29888175926982,109.17,108.49,104.58
2000-07-25,108.81,109.34,108.69,109.1,0,109.4699870159998,107.8815,106.2930129840002,67.67322433126465,109.34,108.69,104.58
2000-07-26,109.09,109.42,108.92,109.2,0,109.5422000362629,108.0255,106.50879996373709,68.4481989738948,109.42,108.92,104.58
2000-07-27,109.21,109.41,108.75,109.04,0,109.47333370673825,108.1715,106.86966629326174,65.7329305823265,109.41,108.75,104.58
2000-07-28,109.05,109.82,108.55,109.6,0,109.6382328155958,108.298,106.9577671844042,70.19014324377812,109.82,108.55,104.58
2000-07-30,109.63,109.82,109.41,109.51,0,109.79615788587193,108.39000000000001,106.9838421141281,68.64477131372041,109.82,109.41,104.58
2000-07-31,109.51,109.76,109.19,109.47,0,109.93164538527743,108.4665,107.00135461472256,67.92893477852004,109.76,109.19,104.58
2000-08-01,109.46,109.81,108.3,108.79,0,109.9230514404878,108.5355,107.1479485595122,57.0392815721898,109.81,108.3,104.58
2000-08-02,108.78,109.33,108.57,108.97,0,109.8521289858159,108.631,107.4098710141841,58.916748638474346,109.33,108.57,104.58
2000-08-03,108.99,109.09,107.91,108.46,0,109.7267688603265,108.69450000000002,107.66223113967354,51.98474102185358,109.09,107.91,104.58
2000-08-04,108.46,108.69,108.13,108.64,0,109.72606265253306,108.7145,107.70293734746694,54.04009394002953,108.69,108.13,104.58
2000-08-06,108.65,108.9,108.57,108.72,0,109.73065926046907,108.73299999999999,107.73534073953091,54.96283602456146,108.9,108.57,104.58
2000-08-07,108.73,109.29,108.65,108.78,0,109.69421338310616,108.77850000000001,107.86278661689386,55.681510291840915,109.29,108.65,104.58
2000-08-08,108.77,108.92,108.37,108.6,0,109.67399699139864,108.80149999999999,107.92900300860134,52.95161369076898,108.92,108.37,104.58
