Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1
2016-08-26,100.485,101.943,100.06,101.795,0,102.42077594264845,101.02080000000001,99.62082405735157,51.97871160323239,101.943,100.06,116.95,111.749,111.248,121.248
2016-08-28,102.038,102.213,101.828,102.154,0,102.55393372742053,101.06985,99.58576627257948,54.407957949887575,102.213,101.828,116.95,111.749,111.248,121.248
2016-08-29,102.155,102.389,101.751,102.088,0,102.60117493552376,101.0841,99.56702506447625,53.86843948194014,102.389,101.751,116.95,111.749,111.248,121.248
2016-08-30,102.088,103.224,102.035,103.025,0,102.82974077772482,101.1348,99.43985922227517,59.941637239588545,103.224,102.035,116.95,111.749,111.248,121.248
2016-08-31,103.026,103.53,102.943,103.257,0,103.04504266747324,101.18075,99.31645733252677,61.30014369621529,103.53,102.943,116.95,111.749,111.248,121.248
2016-09-01,103.259,103.997,103.118,103.333,0,103.36717913312552,101.27985,99.19252086687447,61.75767737060409,103.997,103.118,116.95,111.749,111.248,121.248
2016-09-02,103.332,104.319,102.8,103.944,0,103.79357901999673,101.40435,99.01512098000326,65.30864917085815,104.319,102.8,116.95,111.749,111.248,121.248
2016-09-04,104.084,104.127,103.526,103.658,0,104.06031070094033,101.4867,98.91308929905966,62.38842307787171,104.127,103.526,116.95,111.749,111.248,121.248
2016-09-05,103.66,103.806,103.145,103.51,0,104.31582952588708,101.59875000000001,98.88167047411294,60.87157978741261,103.806,103.145,116.95,111.749,111.248,121.248
2016-09-06,103.512,103.729,101.202,101.441,0,104.32150968233425,101.6078,98.89409031766574,44.56084344770225,103.729,101.202,116.95,111.749,111.248,121.248
2016-09-07,101.444,101.917,101.304,101.659,0,104.33043164557668,101.66705,99.00366835442333,46.19671234338299,101.917,101.304,116.95,111.749,111.248,121.248
