Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2020-03-02,108.124,108.578,107.401,107.812,0,112.19933679274993,109.95284999999998,107.70636320725004,32.03803726051035,108.578,107.401,102.816,110.186,111.975
2020-03-03,107.813,108.138,106.846,107.363,0,112.34873274716185,109.83429999999998,107.31986725283812,29.448554536757015,108.138,106.846,102.816,110.186,111.975
2020-03-04,107.362,107.742,107.14,107.331,0,112.4472140391729,109.70674999999999,106.96628596082707,29.26699728353286,107.742,107.14,102.816,110.186,111.975
2020-03-05,107.331,107.439,105.754,105.844,0,112.72206352600243,109.5076,106.29313647399756,22.36634293637701,107.439,105.754,102.816,110.186,111.975
2020-03-06,105.844,106.063,104.993,105.283,0,112.9757620841025,109.27874999999999,105.58173791589748,20.411040968077515,106.063,104.993,102.816,110.186,111.975
2020-03-08,104.211,104.596,101.553,102.816,0,113.56560025025888,108.9304,104.29519974974113,14.434872986435934,104.596,101.553,102.816,110.186,111.975
2020-03-09,102.817,104.255,101.18,104.223,0,113.70349494889219,108.65510000000002,103.60670505110785,27.476862777942245,104.255,101.18,102.816,110.186,111.975
2020-03-10,104.222,105.919,103.213,104.434,0,113.7221034128267,108.38525,103.0483965871733,29.219213117236308,105.919,103.213,102.816,110.186,111.975
2020-03-11,104.433,105.331,103.08,104.022,0,113.72001836034576,108.0992,102.47838163965423,27.814062828171416,105.331,103.08,102.816,110.186,111.975
2020-03-12,104.022,106.099,103.507,105.588,0,113.52654149097478,107.87725,102.22795850902523,39.68668586911933,106.099,103.507,102.816,110.186,111.975
2020-03-13,105.588,108.501,105.317,107.899,0,113.1220268538702,107.7038,102.2855731461298,52.18499258847897,108.501,105.317,102.816,110.186,111.975
2020-03-15,107.078,107.567,105.727,106.784,0,112.50471380779469,107.44424999999998,102.38378619220528,47.112370089556734,107.567,105.727,102.816,110.186,111.975
