timestamp,strategy,signal,entry_price,stop_loss,take_profit,lot_size,risk_amount
2024-01-17 01:15:00,core,-1,147.852,10,30,0.2,45000.0
2024-01-17 01:30:00,core,-1,147.789,10,30,0.2,45000.0
2024-01-17 02:00:00,core,-1,147.9,10,30,0.2,45000.0
2024-01-17 08:30:00,core,-1,147.933,10,30,0.2,45000.0
2024-01-17 08:45:00,core,-1,147.935,10,30,0.2,45000.0
2024-01-17 09:00:00,core,-1,147.958,10,30,0.2,45000.0
2024-01-17 09:30:00,core,-1,148.115,10,30,0.2,45000.0
2024-01-17 09:45:00,core,-1,148.343,10,30,0.2,45000.0
2024-01-17 10:15:00,core,-1,148.332,10,30,0.2,45000.0
2024-01-17 10:30:00,core,-1,148.441,10,30,0.2,45000.0
2024-01-17 10:45:00,core,-1,148.447,10,30,0.2,45000.0
2024-01-17 17:00:00,core,1,148.091,10,30,0.2,45000.0
2024-01-17 17:15:00,core,1,148.09,10,30,0.2,45000.0
2024-01-17 19:45:00,core,1,148.004,10,30,0.2,45000.0
2024-01-17 20:00:00,core,1,147.908,10,30,0.2,45000.0
2024-01-18 01:00:00,core,1,147.854,10,30,0.2,45000.0
2024-01-18 01:15:00,core,1,147.832,10,30,0.2,45000.0
2024-01-18 01:45:00,core,1,147.746,10,30,0.2,45000.0
2024-01-18 02:00:00,core,1,147.775,10,30,0.2,45000.0
2024-01-18 08:30:00,core,-1,148.23,10,30,0.2,45000.0
2024-01-18 08:45:00,core,-1,148.229,10,30,0.2,45000.0
2024-01-18 16:30:00,core,1,148.082,10,30,0.2,45000.0
2024-01-18 18:00:00,core,1,148.037,10,30,0.2,45000.0
2024-01-18 19:15:00,core,1,147.974,10,30,0.2,45000.0
2024-01-18 21:00:00,core,-1,148.37,10,30,0.2,45000.0
2024-01-19 00:30:00,core,-1,148.622,10,30,0.2,45000.0
2024-01-19 00:45:00,core,-1,148.648,10,30,0.2,45000.0
2024-01-19 01:00:00,core,-1,148.691,10,30,0.2,45000.0
2024-01-19 01:15:00,core,-1,148.753,10,30,0.2,45000.0
2024-01-19 04:00:00,core,1,147.95,10,30,0.2,45000.0
2024-01-19 09:15:00,core,-1,148.295,10,30,0.2,45000.0
2024-01-19 09:30:00,core,-1,148.444,10,30,0.2,45000.0
2024-01-19 10:00:00,core,-1,148.484,10,30,0.2,45000.0
2024-01-19 16:45:00,core,1,148.04,10,30,0.2,45000.0
2024-01-21 20:30:00,core,1,147.797,10,30,0.2,45000.0
2024-01-22 03:30:00,core,-1,148.237,10,30,0.2,45000.0
2024-01-22 03:45:00,core,-1,148.241,10,30,0.2,45000.0
2024-01-22 07:15:00,core,1,147.798,10,30,0.2,45000.0
2024-01-22 07:30:00,core,1,147.74,10,30,0.2,45000.0
2024-01-22 13:00:00,core,-1,148.088,10,30,0.2,45000.0
2024-01-22 13:15:00,core,-1,148.135,10,30,0.2,45000.0
2024-01-22 17:00:00,core,1,147.937,10,30,0.2,45000.0
2024-01-22 22:00:00,core,-1,148.431,10,30,0.2,45000.0
2024-01-22 22:15:00,core,-1,148.356,10,30,0.2,45000.0
2024-01-23 01:30:00,core,1,147.621,10,30,0.2,45000.0
2024-01-23 01:45:00,core,1,147.124,10,30,0.2,45000.0
