Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-03-30,82.028,82.876,81.853,82.845,0,84.0324651538663,82.87310000000001,81.71373484613372,56.764380251100995,82.876,81.853,76.651,76.152
2012-04-01,83.019,83.295,82.75,83.12,0,83.9882749209858,82.9402,81.8921250790142,59.018264765921145,83.295,82.75,76.651,76.152
2012-04-02,83.121,83.139,81.547,81.944,0,84.03128898238893,82.9149,81.79851101761108,47.592446484709164,83.139,81.547,76.651,76.152
2012-04-03,81.942,82.986,81.878,82.737,0,84.01858997958853,82.9383,81.85801002041147,54.052202612130415,82.986,81.878,76.651,76.152
2012-04-04,82.736,82.76,82.087,82.213,0,84.02231926963137,82.93595,81.84958073036864,49.69343203084715,82.76,82.087,76.651,76.152
2012-04-05,82.215,82.427,81.819,82.258,0,84.01495823227475,82.89315,81.77134176772526,50.06583600625333,82.427,81.819,76.651,76.152
2012-04-06,82.259,82.547,81.312,81.633,0,83.86727208335765,82.7683,81.66932791664235,45.07495611756257,82.547,81.312,76.651,76.152
2012-04-08,81.502,81.575,81.191,81.426,0,83.89315558155427,82.67575000000001,81.45834441844575,43.52730716753422,81.575,81.191,76.651,76.152
2012-04-09,81.425,81.856,81.22,81.577,0,83.8389924942037,82.5833,81.3276075057963,45.01053519320023,81.856,81.22,76.651,76.152
2012-04-10,81.576,81.634,80.613,80.759,0,83.86665295946813,82.4479,81.02914704053188,39.03013174964049,81.634,80.613,76.651,76.152
2012-04-11,80.758,81.114,80.564,80.869,0,83.82378573702638,82.3206,80.81741426297361,40.181140172640184,81.114,80.564,76.651,76.152
2012-04-12,80.868,81.186,80.728,81.036,0,83.65548346474868,82.18854999999999,80.7216165352513,41.97219090724386,81.186,80.728,76.651,76.152
2012-04-13,81.04,81.124,80.818,80.92,0,83.56516320286717,82.07495,80.58473679713283,41.05272019997239,81.124,80.818,76.651,76.152
2012-04-15,80.841,80.991,80.84,80.853,0,83.52483156776884,81.97945,80.43406843223116,40.50084379490216,80.991,80.84,76.651,76.152
2012-04-16,80.854,80.866,80.29,80.448,0,83.5561887737785,81.88455,80.21291122622151,37.24176371625627,80.866,80.29,76.651,76.152
2012-04-17,80.447,81.425,80.362,81.369,0,83.46850643280688,81.8207,80.17289356719313,47.573456345706305,81.425,80.362,76.651,76.152
2012-04-18,81.37,81.555,81.163,81.428,0,83.33116182543279,81.74855,80.1659381745672,48.16219749983747,81.555,81.163,76.651,76.152
2012-04-19,81.429,81.726,81.323,81.558,0,83.18192272945087,81.68325,80.18457727054913,49.507669331241296,81.726,81.323,76.651,76.152
2012-04-20,81.557,81.771,81.472,81.515,0,83.0614320189906,81.62715,80.1928679810094,49.05413161819088,81.771,81.472,76.651,76.152
2012-04-22,81.505,81.655,81.248,81.271,0,83.01843528848664,81.58895,80.15946471151335,46.45357609335706,81.655,81.248,76.651,76.152
2012-04-23,81.276,81.402,80.848,80.858,0,82.82947751679016,81.4896,80.14972248320983,42.36009857426782,81.402,80.848,76.651,76.152
2012-04-24,80.857,81.552,80.849,81.445,0,82.5175930053748,81.40585,80.2941069946252,49.21055429091289,81.552,80.849,76.651,76.152
2012-04-25,81.447,81.685,81.064,81.161,0,82.45477667009261,81.36670000000001,80.2786233299074,46.34092464051679,81.685,81.064,76.651,76.152
2012-04-26,81.16,81.434,80.487,81.365,0,82.18666241198908,81.2981,80.40953758801093,48.65696254562923,81.434,80.487,76.651,76.152
2012-04-27,81.366,81.421,80.22,80.262,0,82.09429011323195,81.20054999999999,80.30680988676804,38.88440989132728,81.421,80.22,76.651,76.152
2012-04-29,80.263,80.38,80.092,80.172,0,81.95834068548494,81.09625,80.23415931451505,38.21004911620477,80.38,80.092,76.651,76.152
