Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,resistance_level_1
2014-05-19,101.482,101.59,101.094,101.543,0,102.58454404573872,101.94215,101.29975595426127,41.26988810901888,101.59,101.094,101.264,101.156,121.533
2014-05-20,101.542,101.544,101.121,101.156,0,102.61344002630561,101.89305,101.1726599736944,35.56604919000043,101.544,101.121,101.264,101.156,121.533
2014-05-21,101.157,101.661,100.815,101.655,0,102.52555728459417,101.85170000000001,101.17784271540584,45.94080330649114,101.661,100.815,101.264,101.156,121.533
2014-05-22,101.654,101.849,101.466,101.759,0,102.44935022064134,101.82050000000001,101.19164977935868,47.82632677485095,101.849,101.466,101.264,101.156,121.533
2014-05-23,101.758,102.0,101.585,101.957,0,102.40321025396582,101.8049,101.20658974603418,51.30836284582947,102.0,101.585,101.264,101.156,121.533
2014-05-25,101.928,102.042,101.862,101.893,0,102.33000473699043,101.78245,101.23489526300956,50.1434445057658,102.042,101.862,101.264,101.156,121.533
2014-05-26,101.894,101.982,101.832,101.962,0,102.29329915741091,101.7711,101.2489008425891,51.423955389721854,101.982,101.832,101.264,101.156,121.533
2014-05-27,101.961,102.132,101.717,101.932,0,102.29374237959861,101.7713,101.24885762040138,50.81288435396969,102.132,101.717,101.264,101.156,121.533
2014-05-28,101.933,101.97,101.628,101.693,0,102.26273083313673,101.75404999999999,101.24536916686326,46.11178446229094,101.97,101.628,101.264,101.156,121.533
2014-05-29,101.692,101.784,101.42,101.556,0,102.26355759886951,101.7518,101.2400424011305,43.62049836679055,101.784,101.42,101.264,101.156,121.533
2014-05-30,101.555,101.836,101.538,101.747,0,102.2575623246926,101.74730000000001,101.23703767530742,47.85066912543973,101.836,101.538,101.264,101.156,121.533
2014-06-02,102.427,102.445,102.348,102.393,0,102.36412449187027,101.78295,101.20177550812973,59.04356871894228,102.445,102.348,101.264,101.156,121.533
2014-06-03,102.394,102.787,102.263,102.742,0,102.54626524842408,101.8302,101.11413475157593,63.590200164125974,102.787,102.263,101.264,101.156,121.533
2014-06-04,102.743,102.754,102.43,102.531,0,102.63591599752007,101.8586,101.08128400247992,59.303807686035384,102.754,102.43,101.264,101.156,121.533
2014-06-05,102.529,102.725,102.25,102.323,0,102.64632900545561,101.86185,101.0773709945444,55.343457470447085,102.725,102.25,101.264,101.156,121.533
2014-06-06,102.322,102.602,102.106,102.469,0,102.69702364789538,101.87769999999999,101.0583763521046,57.48942053515633,102.602,102.106,101.264,101.156,121.533
2014-06-08,102.504,102.638,102.494,102.533,0,102.77987014710494,101.9128,101.04572985289506,58.43240353287526,102.638,102.494,101.264,101.156,121.533
2014-06-09,102.532,102.585,102.323,102.329,0,102.81346763038306,101.95755,101.10163236961694,54.29788778988802,102.585,102.323,101.264,101.156,121.533
2014-06-10,102.328,102.409,102.206,102.26,0,102.8339405621303,101.9957,101.1574594378697,52.9336001690263,102.409,102.206,101.264,101.156,121.533
2014-06-11,102.259,102.355,101.853,102.088,0,102.83083779190572,102.02605,101.22126220809427,49.588796646591575,102.355,101.853,101.264,101.156,121.533
2014-06-12,102.089,102.133,101.597,101.848,0,102.82003361299002,102.04129999999999,101.26256638700997,45.28853455700935,102.133,101.597,101.264,101.156,121.533
2014-06-13,101.851,102.13,101.81,102.042,0,102.75029914999229,102.0856,101.42090085000771,49.12877751790896,102.13,101.81,101.264,101.156,121.533
2014-06-15,102.064,102.07,101.744,101.755,0,102.74367040968065,102.0906,101.43752959031934,44.18744484527666,102.07,101.744,101.264,101.156,121.533
2014-06-16,101.754,102.061,101.713,101.963,0,102.73903932815242,102.10079999999999,101.46256067184757,48.2498728612703,102.061,101.713,101.264,101.156,121.533
2014-06-17,101.964,102.234,101.894,102.183,0,102.74775270391973,102.11210000000001,101.4764472960803,52.21190101284758,102.234,101.894,101.264,101.156,121.533
2014-06-18,102.182,102.32,101.857,101.92,0,102.74734793342496,102.11345,101.47955206657504,47.52735476977945,102.32,101.857,101.264,101.156,121.533
2014-06-19,101.918,101.992,101.731,101.828,0,102.74967763978573,102.10675,101.46382236021428,45.97345871220876,101.992,101.731,101.264,101.156,121.533
2014-06-20,101.827,102.187,101.812,102.058,0,102.75145816880773,102.11305,101.47464183119227,50.34436553808664,102.187,101.812,101.264,101.156,121.533
2014-06-22,102.084,102.127,101.914,101.941,0,102.73992684252576,102.12545,101.51097315747424,48.207761437224214,102.127,101.914,101.264,101.156,121.533
2014-06-23,101.939,101.951,101.809,101.895,0,102.71002607410198,102.1424,101.57477392589801,47.35679555819589,101.951,101.809,101.264,101.156,121.533
2014-06-24,101.898,102.159,101.834,101.905,0,102.69980272064878,102.15029999999999,101.6007972793512,47.57345283939829,102.159,101.834,101.264,101.156,121.533
2014-06-25,101.904,101.945,101.617,101.731,0,102.6837268219603,102.1172,101.55067317803969,44.16728818318079,101.945,101.617,101.264,101.156,121.533
2014-06-26,101.73,101.807,101.306,101.327,0,102.63614364080046,102.04645,101.45675635919953,37.4608045943297,101.807,101.306,101.264,101.156,121.533
2014-06-27,101.328,101.473,101.315,101.386,0,102.60149848930122,101.98920000000001,101.3769015106988,38.91945876411406,101.473,101.315,101.264,101.156,121.533
2014-06-29,101.4,101.463,101.256,101.302,0,102.59894445366966,101.93815,101.27735554633033,37.57570664329937,101.463,101.256,101.264,101.156,121.533
2014-06-30,101.303,101.524,101.229,101.47,0,102.53173853031551,101.88820000000001,101.24466146968452,41.89655414582875,101.524,101.229,101.264,101.156,121.533
2014-07-01,101.471,101.642,101.385,101.603,0,102.42359968207644,101.8417,101.25980031792356,45.134303626599504,101.642,101.385,101.264,101.156,121.533
2014-07-02,101.604,101.935,101.401,101.851,0,102.35524529023957,101.8178,101.28035470976045,50.65586171640865,101.935,101.401,101.264,101.156,121.533
2014-07-03,101.852,102.258,101.807,102.11,0,102.32662396806724,101.81030000000001,101.29397603193279,55.673060033842354,102.258,101.807,101.264,101.156,121.533
2014-07-04,102.109,102.112,101.963,102.055,0,102.32161365368385,101.80865,101.29568634631615,54.407929018353286,102.112,101.963,101.264,101.156,121.533
2014-07-06,102.055,102.192,102.042,102.135,0,102.3552585837736,101.82300000000001,101.29074141622641,55.9750455998784,102.192,102.042,101.264,101.156,121.533
2014-07-07,102.136,102.137,101.678,101.825,0,102.33487068067055,101.81215,101.28942931932946,48.953225643013056,102.137,101.678,101.264,101.156,121.533
2014-07-08,101.823,101.852,101.438,101.624,0,102.33427018073718,101.8056,101.27692981926282,45.010570446243726,101.852,101.438,101.264,101.156,121.533
2014-07-09,101.623,101.851,101.489,101.519,0,102.32098139848837,101.7834,101.24581860151163,43.05957976076162,101.851,101.489,101.264,101.156,121.533
2014-07-10,101.518,101.559,101.058,101.262,0,102.2877561318706,101.73735,101.18694386812942,38.6443328014998,101.559,101.058,101.264,101.156,121.533
2014-07-11,101.26,101.383,101.208,101.263,0,102.28498238560768,101.70450000000001,101.12401761439234,38.67068427424207,101.383,101.208,101.264,101.156,121.533
2014-07-13,101.373,101.402,101.324,101.363,0,102.27712880479238,101.68125,101.08537119520763,41.38191524601154,101.402,101.324,101.264,101.156,121.533
2014-07-14,101.362,101.636,101.362,101.585,0,102.22882583975239,101.6576,101.08637416024762,46.98508902643786,101.636,101.362,101.264,101.156,121.533
2014-07-15,101.587,101.755,101.426,101.728,0,102.20442052836974,101.64695,101.08947947163027,50.28183372509399,101.755,101.426,101.264,101.156,121.533
2014-07-16,101.727,101.783,101.506,101.53,0,102.17630463840334,101.62870000000001,101.08109536159668,46.01504654207594,101.783,101.506,101.264,101.156,121.533
2014-07-17,101.531,101.572,101.079,101.303,0,102.14832225714527,101.5986,101.04887774285474,41.6512611836422,101.572,101.079,101.264,101.156,121.533
