position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1361,aggressive_v3,SELL,2024-01-29 19:00:00,147.333,2024-01-29 21:30:00,147.438,0.68,-10.499999999998977,-7139.999999999305,sl
1362,aggressive_v3,BUY,2024-01-30 08:45:00,147.519,2024-01-30 09:00:00,147.408,0.68,-11.100000000001842,-7548.000000001253,sl
1363,aggressive_v3,SELL,2024-01-30 18:45:00,147.32999999999998,2024-01-30 19:30:00,147.441,0.68,-11.100000000001842,-7548.000000001253,sl
1364,aggressive_v3,BUY,2024-01-30 22:30:00,147.746,2024-01-30 23:30:00,147.636,0.68,-11.000000000001364,-7480.000000000929,sl
1365,aggressive_v3,SELL,2024-01-31 09:45:00,146.637,2024-01-31 10:45:00,146.178,0.68,45.90000000000032,31212.00000000022,tp
1366,aggressive_v3,SELL,2024-01-31 11:00:00,146.363,2024-01-31 14:00:00,146.609,0.68,-24.600000000000932,-16728.000000000633,sl
1367,aggressive_v3,SELL,2024-01-31 21:00:00,146.515,2024-01-31 21:15:00,146.637,0.68,-12.20000000000141,-8296.000000000959,sl
1368,aggressive_v3,BUY,2024-02-01 07:00:00,147.012,2024-02-01 08:00:00,146.884,0.68,-12.800000000001432,-8704.000000000975,sl
1369,aggressive_v3,BUY,2024-02-02 10:30:00,148.227,2024-02-02 11:30:00,148.494,0.68,26.69999999999959,18155.999999999724,tp
1370,aggressive_v3,BUY,2024-02-02 11:45:00,148.542,2024-02-02 12:15:00,148.459,0.68,-8.29999999999984,-5643.999999999892,sl
1371,aggressive_v3,BUY,2024-02-04 18:00:00,148.584,2024-02-04 18:45:00,148.512,0.68,-7.200000000000273,-4896.0000000001855,sl
1372,aggressive_v3,BUY,2024-02-04 19:15:00,148.70000000000002,2024-02-04 20:15:00,148.568,0.68,-13.2000000000005,-8976.00000000034,sl
