position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1413,aggressive_v2_5,BUY,2025-01-22 22:15:00,156.53300000000002,2025-01-23 00:15:00,156.714,0.39,18.099999999998317,7058.999999999343,tp
1414,aggressive_v2_5,SELL,2025-01-23 11:45:00,156.00099999999998,2025-01-23 14:45:00,155.803,0.39,19.799999999997908,7721.999999999184,tp
1415,aggressive_v2_5,SELL,2025-01-23 13:15:00,155.971,2025-01-23 14:45:00,155.803,0.39,16.800000000000637,6552.000000000248,tp
1416,aggressive_v2_5,SELL,2025-01-23 14:45:00,155.801,2025-01-23 15:45:00,155.968,0.39,-16.70000000000016,-6513.000000000062,sl
1417,aggressive_v2_5,BUY,2025-01-23 19:15:00,156.125,2025-01-23 20:45:00,156.307,0.39,18.199999999998795,7097.99999999953,tp
1418,aggressive_v2_5,BUY,2025-01-23 20:00:00,156.166,2025-01-23 21:30:00,155.992,0.39,-17.40000000000066,-6786.000000000257,sl
1419,aggressive_v2_5,BUY,2025-01-24 07:15:00,156.085,2025-01-24 07:30:00,156.266,0.39,18.099999999998317,7058.999999999343,tp
1420,aggressive_v2_5,BUY,2025-01-24 09:30:00,156.453,2025-01-24 09:45:00,156.3,0.39,-15.299999999999159,-5966.999999999672,sl
1421,aggressive_v2_5,SELL,2025-01-26 17:45:00,155.762,2025-01-26 18:15:00,155.602,0.39,15.999999999999659,6239.999999999867,tp
1423,aggressive_v2_5,SELL,2025-01-26 20:00:00,155.392,2025-01-26 20:15:00,155.5,0.39,-10.80000000000041,-4212.00000000016,sl
1422,aggressive_v2_5,SELL,2025-01-26 19:15:00,155.512,2025-01-26 21:30:00,155.6,0.39,-8.799999999999386,-3431.999999999761,sl
1424,aggressive_v2_5,BUY,2025-01-27 10:15:00,154.431,2025-01-27 10:30:00,154.582,0.39,15.099999999998204,5888.9999999993,tp
1425,stable_v2_5,BUY,2025-01-28 08:45:00,155.488,2025-01-28 09:30:00,155.253,1.95,-23.500000000001364,-45825.00000000266,sl
1426,aggressive_v2_5,BUY,2025-01-28 11:00:00,155.721,2025-01-28 11:15:00,155.599,0.39,-12.20000000000141,-4758.000000000549,sl
1427,aggressive_v2_5,BUY,2025-01-28 19:15:00,155.585,2025-01-28 20:00:00,155.735,0.39,15.000000000000568,5850.000000000222,tp
1428,aggressive_v2_5,BUY,2025-01-29 07:15:00,155.43800000000002,2025-01-29 08:00:00,155.356,0.39,-8.200000000002206,-3198.0000000008604,sl
1429,aggressive_v2_5,BUY,2025-01-29 14:45:00,155.24300000000002,2025-01-29 17:00:00,155.147,0.39,-9.600000000003206,-3744.0000000012506,sl
1430,aggressive_v2_5,SELL,2025-01-29 21:30:00,154.41899999999998,2025-01-29 22:45:00,154.527,0.39,-10.80000000000041,-4212.00000000016,sl
1431,aggressive_v2_5,SELL,2025-01-30 09:30:00,154.05599999999998,2025-01-30 10:00:00,153.869,0.39,18.69999999999834,7292.999999999352,tp
1432,aggressive_v2_5,SELL,2025-01-30 10:15:00,153.856,2025-01-30 10:30:00,154.006,0.39,-15.000000000000568,-5850.000000000222,sl
1433,aggressive_v2_5,BUY,2025-01-30 13:15:00,154.418,2025-01-30 14:00:00,154.289,0.39,-12.90000000000191,-5031.000000000745,sl
1434,stable_v2_5,SELL,2025-01-30 17:00:00,154.191,2025-01-30 18:00:00,154.441,1.95,-25.0,-48750.0,sl
1435,aggressive_v2_5,SELL,2025-01-30 19:15:00,154.239,2025-01-30 20:15:00,154.016,0.39,22.30000000000132,8697.000000000515,tp
1436,aggressive_v2_5,SELL,2025-01-30 20:45:00,154.08599999999998,2025-01-30 21:45:00,154.173,0.39,-8.70000000000175,-3393.000000000683,sl
1437,aggressive_v2_5,SELL,2025-02-02 17:45:00,155.00699999999998,2025-02-02 18:00:00,155.287,0.39,-28.000000000002956,-10920.000000001153,sl
1438,aggressive_v2_5,BUY,2025-02-02 18:30:00,155.371,2025-02-02 19:30:00,155.77,0.39,39.90000000000009,15561.000000000036,tp
1439,stable_v2_5,BUY,2025-02-04 01:15:00,155.364,2025-02-04 01:30:00,155.183,1.95,-18.10000000000116,-35295.00000000226,sl
1440,aggressive_v2_5,BUY,2025-02-04 07:15:00,155.298,2025-02-04 09:00:00,155.176,0.39,-12.20000000000141,-4758.000000000549,sl
1441,aggressive_v2_5,SELL,2025-02-04 23:00:00,153.232,2025-02-04 23:45:00,153.358,0.39,-12.600000000000477,-4914.000000000186,sl
